Dictionary.txt

I N T E G R A T E # 
N # D E C R E P I T 
D # # # # S O B E R 
I # R E C A N T # U 
F R A # E # D R # I 
F I D E L I T Y # S 
E G I # E N # # # M 
R H A # S W E A R # 
E T N # T A # P # # 
N # C # I R # P # # 
T # E # A D U L T # 
# # # # L # # Y # # 
Z E R O # # # # # # 
T R E M E N D O U S 

AaH INTEGRATE
AaV INDIFFERENT
BcH DECREPIT
DcH RECANT
DcV RADIANCE
FaH FIDELITY
EbV RIGHT
DeV CELESTIAL
HeH SWEAR
NaH TREMENDOUS
FfV INWARD
KeH ADULT
HhV APPLY
MaH ZERO
BjV TRUISM
CfH SOBER
EgH DR
